LOC,Nombre,Nivel,WMC,Resultado,Linea en clase,Llamado por
0,<init>,0,0,void,0,
7,f1,1,1,void,20,
3,f2,2,1,void,28,
6,main,0,1,void,13,
7,f1,1,1,void,20,
3,f2,2,1,void,28,
