LOC,Nombre,Nivel,WMC,Resultado,Linea en clase,Llamado por
0,<init>,0,0,void,0,[paquete.Mainf1]
3,getList,0,1,java.util.ArrayList,14,[paquete.Mainf1]
4,toString,0,1,java.lang.String,19,
