file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aatqb\bvhzq\khvfl\qblof\xeunf\Class000251.java,generated.aatqb.bvhzq.khvfl.qblof.xeunf.Class000251,method009/1[helpers.Context],false,845,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,11,13,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aatqb\bvhzq\khvfl\qblof\xeunf\Class000251.java,generated.aatqb.bvhzq.khvfl.qblof.xeunf.Class000251,method006/1[helpers.Context],false,568,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,11,14,0,2,0,0,0,37,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aatqb\bvhzq\khvfl\qblof\xeunf\Class000251.java,generated.aatqb.bvhzq.khvfl.qblof.xeunf.Class000251,method001/1[helpers.Context],false,112,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,16,16,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aatqb\bvhzq\khvfl\qblof\xeunf\Class000251.java,generated.aatqb.bvhzq.khvfl.qblof.xeunf.Class000251,method002/1[helpers.Context],false,204,5,13,23,60,4,11,1,23,0,0,0,0,1,2,10,11,14,0,2,0,0,0,38,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aatqb\bvhzq\khvfl\qblof\xeunf\Class000251.java,generated.aatqb.bvhzq.khvfl.qblof.xeunf.Class000251,method008/1[helpers.Context],false,750,5,13,23,63,4,13,1,23,0,0,0,0,1,2,13,12,16,0,2,0,0,0,42,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method005/1[helpers.Context],false,471,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,11,13,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method006/1[helpers.Context],false,559,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,16,16,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method000/1[helpers.Context],false,21,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,12,14,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method003/1[helpers.Context],false,295,5,13,23,59,4,10,1,23,0,0,0,0,1,2,8,10,13,0,2,0,0,0,33,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method004/1[helpers.Context],false,383,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,11,13,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method008/1[helpers.Context],false,743,5,13,23,60,4,11,1,23,0,0,0,0,1,2,10,11,14,0,2,0,0,0,38,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aawix\xondn\sxvyk\oumcb\wzybk\Class000596.java,generated.aawix.xondn.sxvyk.oumcb.wzybk.Class000596,method001/1[helpers.Context],false,112,5,14,24,62,4,11,1,24,0,0,1,0,1,2,8,15,16,0,2,0,0,0,34,9,3,false
