file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Interface.java,helper.Interface,interface,1,3,1,1,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\initialization\Constructor.java,initialization.Constructor,class,2,3,1,2,3,0.0,0.0,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\initialization\Init.java,initialization.Init,class,5,3,1,2,0,0.0,0.0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,14,0,0,0,0,0,2,0,4,0,4,0,0,0,0,9,1,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\initialization\InitializationTest.java,initialization.InitializationTest,class,6,2,1,3,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\initialization\IntermediateInitialization.java,initialization.IntermediateInitialization,class,2,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\initialization\StaticInit.java,initialization.StaticInit,class,4,3,1,2,0,0.0,0.0,1,1,0,0,0,1,3,0,0,0,1,1,0,0,0,1,0,0,2,13,0,0,0,0,0,2,0,2,0,2,0,0,0,0,7,1,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\java8\FunctionalInterface.java,java8.FunctionalInterface,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\java8\Java8Test.java,java8.Java8Test,class,6,8,1,11,15,0.0,0.0,6,1,2,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,6,41,2,1,0,0,0,9,3,5,0,8,1,0,0,2,25,1,6
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\java8\Lambda.java,java8.Lambda,interface,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\java8\MethodReference.java,java8.MethodReference,class,1,4,1,3,4,0.0,0.0,4,2,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,17,1,0,0,0,0,4,0,1,0,1,0,0,0,0,12,1,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\parser\ForParser.java,parser.ForParser,class,5,4,1,2,6,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,0,0,2,0,0,4,22,2,0,0,0,0,6,0,4,0,4,0,0,0,0,16,1,4
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\parser\ParserTest.java,parser.ParserTest,class,6,2,1,7,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\polimorph\Overload.java,polimorph.Overload,class,3,8,1,5,28,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,8,2,0,0,0,0,0,0,0,12,1,8
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\polimorph\Polimorph.java,polimorph.Polimorph,class,6,6,1,9,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,3,0,5,0,5,0,0,0,0,17,1,3
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\polimorph\PolimorphTest.java,polimorph.PolimorphTest,class,5,4,1,12,6,0.0,0.0,4,1,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,3,0,2,0,2,0,0,0,0,12,1,3
