Nombre,Nivel,LOC,Resultado,Linea en clase,Llamado por
<init>,0,0,void,2,"[paquete.ClaseEnum<clinit>, paquete.ClaseEnum<clinit>, paquete.ClaseEnum<clinit>]"
noOverride,0,4,void,5,"[paquete.ClaseEnum<clinit>, paquete.ClaseEnum<clinit>, paquete.ClaseEnum<clinit>]"
