Nombre,Nivel,LOC,Resultado,Linea en clase,Llamado por
<init>,-1,2,void,4,
f5,0,0,a,0,"[|<init>|, |main|]"
f6,1,0,a,0,[|f5|]
f7,2,0,a,0,[|f6|]
f8,3,0,a,0,"[|fInterfaz|, |f7|, |noOverride|, |siOverride|]"
